app_id,game_name,player_count,timestamp,day_of_week,day_name,hour_of_day,date_only
730,Counter-Strike 2,813759,2025-09-17 22:17:19.461602+00,3,Wednesday,22,2025-09-17 00:00:00+00
440,Team Fortress 2,34602,2025-09-17 22:17:19.52864+00,3,Wednesday,22,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3501,2025-09-17 22:17:19.585999+00,3,Wednesday,22,2025-09-17 00:00:00+00
730,Counter-Strike 2,813759,2025-09-17 22:22:19.487495+00,3,Wednesday,22,2025-09-17 00:00:00+00
271590,GTA V,42399,2025-09-17 22:22:19.48829+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,504353,2025-09-17 22:22:19.491458+00,3,Wednesday,22,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3501,2025-09-17 22:22:19.493757+00,3,Wednesday,22,2025-09-17 00:00:00+00
440,Team Fortress 2,34602,2025-09-17 22:22:19.51762+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,485559,2025-09-17 22:27:19.631137+00,3,Wednesday,22,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3501,2025-09-17 22:27:19.633241+00,3,Wednesday,22,2025-09-17 00:00:00+00
730,Counter-Strike 2,801762,2025-09-17 22:27:19.635179+00,3,Wednesday,22,2025-09-17 00:00:00+00
440,Team Fortress 2,35301,2025-09-17 22:27:19.702303+00,3,Wednesday,22,2025-09-17 00:00:00+00
271590,GTA V,40513,2025-09-17 22:27:19.734752+00,3,Wednesday,22,2025-09-17 00:00:00+00
730,Counter-Strike 2,801762,2025-09-17 22:32:19.695834+00,3,Wednesday,22,2025-09-17 00:00:00+00
271590,GTA V,40513,2025-09-17 22:32:19.697685+00,3,Wednesday,22,2025-09-17 00:00:00+00
440,Team Fortress 2,35301,2025-09-17 22:32:19.70604+00,3,Wednesday,22,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3402,2025-09-17 22:32:19.708157+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,485559,2025-09-17 22:32:19.732511+00,3,Wednesday,22,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3402,2025-09-17 22:37:19.723559+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,485559,2025-09-17 22:37:19.7275+00,3,Wednesday,22,2025-09-17 00:00:00+00
271590,GTA V,40513,2025-09-17 22:37:19.730531+00,3,Wednesday,22,2025-09-17 00:00:00+00
